
 The epoch is 270, average recall: 0.6897, average precision: 0.7018,average F1: 0.6957, average accuracy: 0.7034, average AUC: 0.8034
Train set: Average loss: 0.0006, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0005, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0004, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0007, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0011, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0005, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0013, Accuracy: 420/425 (99%)


Train set: Average loss: 0.0017, Accuracy: 419/425 (99%)


Train set: Average loss: 0.0007, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0007, Accuracy: 423/425 (100%)


 The epoch is 280, average recall: 0.7759, average precision: 0.7258,average F1: 0.7500, average accuracy: 0.7458, average AUC: 0.8164
Train set: Average loss: 0.0006, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0004, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0006, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0007, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0006, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0004, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0005, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0004, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0005, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0006, Accuracy: 422/425 (99%)


 The epoch is 290, average recall: 0.8103, average precision: 0.7833,average F1: 0.7966, average accuracy: 0.7966, average AUC: 0.8431
Train set: Average loss: 0.0003, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0020, Accuracy: 420/425 (99%)


Train set: Average loss: 0.0006, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0007, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0003, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0008, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0003, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0004, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0006, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0005, Accuracy: 423/425 (100%)


 The epoch is 300, average recall: 0.7759, average precision: 0.7143,average F1: 0.7438, average accuracy: 0.7373, average AUC: 0.8043
Train set: Average loss: 0.0004, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0008, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0008, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0002, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0009, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0005, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0004, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0004, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0009, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0012, Accuracy: 422/425 (99%)


 The epoch is 310, average recall: 0.7586, average precision: 0.7333,average F1: 0.7458, average accuracy: 0.7458, average AUC: 0.8287
Train set: Average loss: 0.0013, Accuracy: 420/425 (99%)


Train set: Average loss: 0.0007, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0010, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0014, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0023, Accuracy: 420/425 (99%)


Train set: Average loss: 0.0018, Accuracy: 418/425 (98%)


Train set: Average loss: 0.0037, Accuracy: 412/425 (97%)


Train set: Average loss: 0.0040, Accuracy: 410/425 (96%)


Train set: Average loss: 0.0013, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0011, Accuracy: 421/425 (99%)


 The epoch is 320, average recall: 0.7241, average precision: 0.7241,average F1: 0.7241, average accuracy: 0.7288, average AUC: 0.8164
Train set: Average loss: 0.0025, Accuracy: 416/425 (98%)


Train set: Average loss: 0.0022, Accuracy: 416/425 (98%)


Train set: Average loss: 0.0026, Accuracy: 419/425 (99%)


Train set: Average loss: 0.0008, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0011, Accuracy: 420/425 (99%)


Train set: Average loss: 0.0009, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0008, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0005, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0004, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0009, Accuracy: 421/425 (99%)


 The epoch is 330, average recall: 0.7931, average precision: 0.6970,average F1: 0.7419, average accuracy: 0.7288, average AUC: 0.8149
Train set: Average loss: 0.0007, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0006, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0008, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0004, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0005, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0001, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0002, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0002, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0008, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0023, Accuracy: 416/425 (98%)


 The epoch is 340, average recall: 0.7414, average precision: 0.7288,average F1: 0.7350, average accuracy: 0.7373, average AUC: 0.8302
Train set: Average loss: 0.0006, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0011, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0013, Accuracy: 420/425 (99%)


Train set: Average loss: 0.0014, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0006, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0003, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0006, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0006, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0014, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0007, Accuracy: 423/425 (100%)


 The epoch is 350, average recall: 0.7931, average precision: 0.7302,average F1: 0.7603, average accuracy: 0.7542, average AUC: 0.8555
Train set: Average loss: 0.0003, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0002, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0002, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0007, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0005, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0005, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0004, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0013, Accuracy: 422/425 (99%)


